Generated Image,Reference Angle,new image
https://dev-content.dashtoon.ai/stability-images/d494f44e-6a95-4697-a3e9-f898c241fd46.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,
https://dev-content.dashtoon.ai/stability-images/efc45287-396f-48f7-93a1-ccde56371d69.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front_three_fourth_left.png,
https://dev-content.dashtoon.ai/stability-images/19fedcb9-f62a-4c83-b7a9-4c8019a42e4d.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_side.png,
https://dev-content.dashtoon.ai/stability-images/2be1155a-cf19-4f23-99c6-99b963df1bef.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/patti_allen_front.png,
https://dev-content.dashtoon.ai/stability-images/918f9989-a873-4982-967f-d1418a1ae0ae.png,https://storage.googleapis.com/creative-tech-experiments/char-const-workflow-remix/front_three_fourth_left.png,
